Language,Implementation,Operation,N,TimeMS
Java,ArrayListFor,Insercao,Tempo,10000,28.220058
Java,ArrayListBuildIn,Insercao,Tempo,10000,3.852658
Java,ArrayListFor,Insercao,Memoria,10000,-2056120
Java,ArrayListBuildIn,Insercao,Memoria,10000,216040
Java,ArrayListFor,Search,Tempo,10000,0.112189
Java,ArrayListBuildIn,Search,Tempo,10000,0.691698
Java,ArrayListFor,Search,Memoria,10000,0
Java,ArrayListBuildIn,Search,Memoria,10000,0
Java,ArrayListFor,Remocao,Tempo,10000,0.167466
Java,ArrayListBuildIn,Remocao,Tempo,10000,0.378924
Java,ArrayListFor,Remocao,Memoria,10000,0
Java,ArrayListBuildIn,Remocao,Memoria,10000,-16
Java,ArrayListFor,Insercao,Tempo,30000,35.278995
Java,ArrayListBuildIn,Insercao,Tempo,30000,32.697241
Java,ArrayListFor,Insercao,Memoria,30000,163800
Java,ArrayListBuildIn,Insercao,Memoria,30000,605944
Java,ArrayListFor,Search,Tempo,30000,0.36308
Java,ArrayListBuildIn,Search,Tempo,30000,1.774595
Java,ArrayListFor,Search,Memoria,30000,0
Java,ArrayListBuildIn,Search,Memoria,30000,0
Java,ArrayListFor,Remocao,Tempo,30000,0.154569
Java,ArrayListBuildIn,Remocao,Tempo,30000,1.15567
Java,ArrayListFor,Remocao,Memoria,30000,0
Java,ArrayListBuildIn,Remocao,Memoria,30000,-16
Java,ArrayListFor,Insercao,Tempo,50000,83.544207
Java,ArrayListBuildIn,Insercao,Tempo,50000,92.38679
Java,ArrayListFor,Insercao,Memoria,50000,327640
Java,ArrayListBuildIn,Insercao,Memoria,50000,1083552
Java,ArrayListFor,Search,Tempo,50000,0.073444
Java,ArrayListBuildIn,Search,Tempo,50000,0.307593
Java,ArrayListFor,Search,Memoria,50000,0
Java,ArrayListBuildIn,Search,Memoria,50000,0
Java,ArrayListFor,Remocao,Tempo,50000,0.03228
Java,ArrayListBuildIn,Remocao,Tempo,50000,0.562131
Java,ArrayListFor,Remocao,Memoria,50000,0
Java,ArrayListBuildIn,Remocao,Memoria,50000,-16
Java,ArrayListFor,Insercao,Tempo,100000,317.785779
Java,ArrayListBuildIn,Insercao,Tempo,100000,356.57968
Java,ArrayListFor,Insercao,Memoria,100000,655320
Java,ArrayListBuildIn,Insercao,Memoria,100000,2025016
Java,ArrayListFor,Search,Tempo,100000,0.027453
Java,ArrayListBuildIn,Search,Tempo,100000,0.199361
Java,ArrayListFor,Search,Memoria,100000,0
Java,ArrayListBuildIn,Search,Memoria,100000,0
Java,ArrayListFor,Remocao,Tempo,100000,0.038492
Java,ArrayListBuildIn,Remocao,Tempo,100000,0.140068
Java,ArrayListFor,Remocao,Memoria,100000,0
Java,ArrayListBuildIn,Remocao,Memoria,100000,-16
